ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Số lượng tồn kho ít,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí,Tên thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính hiển thị 1,Thuộc tính toàn cục 1,Tên thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính hiển thị 2,Thuộc tính toàn cục 2,Tên thuộc tính 3,Giá trị thuộc tính 3,Thuộc tính hiển thị 3,Thuộc tính toàn cục 3,Tên thuộc tính 4,Giá trị thuộc tính 4,Thuộc tính hiển thị 4,Thuộc tính toàn cục 4
800,simple,AS180 4T0355,Biến tần,1,0,visible,Công suất (kw): 355  \n  Dòng điện (A): 664 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"5300,77",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),355,1,1,Dòng điện (A),664,1,1,Hiệu suất(%),94,1,1,,,,
801,simple,AS180 4T0400,Biến tần,1,0,visible,Công suất (kw): 400  \n  Dòng điện (A): 755 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"7755,45",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),400,1,1,Dòng điện (A),755,1,1,Hiệu suất(%),94,1,1,,,,
802,simple,AS450 4T05P5,Biến tần,1,0,visible,"Công suất (kw): 5.5  \n  Dòng điện (A): 12, 7 \n Hiệu suất(%): 94 \n : ",,,,taxable,,1,,,0,0,,,,,1,,,"215,29",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),5.5,1,1,Dòng điện (A),"12, 7",1,1,Hiệu suất(%),94,1,1,,,,
803,simple,AS450 4T07P5,Biến tần,1,0,visible,Công suất (kw): 7.5  \n  Dòng điện (A): 18 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"244,59",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),7.5,1,1,Dòng điện (A),18,1,1,Hiệu suất(%),94,1,1,,,,
804,simple,AS450 4T0011,Biến tần,1,0,visible,Công suất (kw): 11  \n  Dòng điện (A): 26 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"294,49",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),11,1,1,Dòng điện (A),26,1,1,Hiệu suất(%),94,1,1,,,,
805,simple,AS450 4T0015,Biến tần,1,0,visible,Công suất (kw): 15  \n  Dòng điện (A): 35 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"344,15",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),15,1,1,Dòng điện (A),35,1,1,Hiệu suất(%),94,1,1,,,,
806,simple,AS450 4T18P5,Biến tần,1,0,visible,Công suất (kw): 18.5  \n  Dòng điện (A): 43 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"427,55",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),18.5,1,1,Dòng điện (A),43,1,1,Hiệu suất(%),94,1,1,,,,
807,simple,AS450 4T0022,Biến tần,1,0,visible,Công suất (kw): 22  \n  Dòng điện (A): 47 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"490,77",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),22,1,1,Dòng điện (A),47,1,1,Hiệu suất(%),94,1,1,,,,
808,simple,AS450 4T0030,Biến tần,1,0,visible,Công suất (kw): 30  \n  Dòng điện (A): 63 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"793,77",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),30,1,1,Dòng điện (A),63,1,1,Hiệu suất(%),94,1,1,,,,
809,simple,AS450 4T0037,Biến tần,1,0,visible,Công suất (kw): 37  \n  Dòng điện (A): 73 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"808,91",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),37,1,1,Dòng điện (A),73,1,1,Hiệu suất(%),94,1,1,,,,
810,simple,AS450 4T0045,Biến tần,1,0,visible,Công suất (kw): 45  \n  Dòng điện (A): 95 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"999,03",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),45,1,1,Dòng điện (A),95,1,1,Hiệu suất(%),94,1,1,,,,
811,simple,AS450 4T0055,Biến tần,1,0,visible,Công suất (kw): 55  \n  Dòng điện (A): 117 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1116,01",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),55,1,1,Dòng điện (A),117,1,1,Hiệu suất(%),94,1,1,,,,
812,simple,AS450 4T0075,Biến tần,1,0,visible,Công suất (kw): 75  \n  Dòng điện (A): 156 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1467,14",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),75,1,1,Dòng điện (A),156,1,1,Hiệu suất(%),94,1,1,,,,
813,simple,AS450 4T0090,Biến tần,1,0,visible,Công suất (kw): 90  \n  Dòng điện (A): 187 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1650,92",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),90,1,1,Dòng điện (A),187,1,1,Hiệu suất(%),94,1,1,,,,
